Nom avec article;Code commune;Département;Code postal;Longitude;Latitude
Bonlieu-sur-Roubion;26052;Drôme;26160;4.881765;44.5942345
Bouchet;26054;Drôme;26790;4.873812;44.297537
Boulc;26055;Drôme;26410;5.5654759407;44.6484451294
Bourdeaux;26056;Drôme;26460;5.1332;44.585
Bourg-de-Péage;26057;Drôme;26300;5.050451;45.040808
Bourg-lès-Valence;26058;Drôme;26500;4.893011;44.941288
Bouvante;26059;Drôme;26190;5.26667022705;44.9333000183
Bouvières;26060;Drôme;26460;5.21667194366;44.5160064697
Bren;26061;Drôme;26260;4.947985;45.135261
Brette;26062;Drôme;26340;5.309555;44.587662
Buis-les-Baronnies;26063;Drôme;26170;5.270465;44.273539
Chabeuil;26064;Drôme;26120;5.01930999756;44.9000015259
Chabrillan;26065;Drôme;26400;4.941256;44.723546
Le Chaffal;26066;Drôme;26190;5.182538;44.886413
Chalancon;26067;Drôme;26470;5.347584;44.509489
Le Chalon;26068;Drôme;26350;5.0879864;45.1552739
Chamaloc;26069;Drôme;26150;5.38375377655;44.7986602783
Chamaret;26070;Drôme;26230;4.88255977631;44.3976898193
Chanos-Curson;26071;Drôme;26600;4.913321;45.060851
Chantemerle-les-Blés;26072;Drôme;26600;4.89777;45.111997
Chantemerle-lès-Grignan;26073;Drôme;26230;4.8337758;44.4042177
La Chapelle-en-Vercors;26074;Drôme;26420;5.4160809;44.968247
La Charce;26075;Drôme;26470;5.451618;44.470685
Charens;26076;Drôme;26310;5.509074;44.538415
Charmes-sur-l'Herbasse;26077;Drôme;26260;5.015873;45.148404
Charols;26078;Drôme;26450;4.953105;44.592418
Charpey;26079;Drôme;26300;5.0908266;44.9416595
Chastel-Arnaud;26080;Drôme;26340;5.209765;44.661709
Châteaudouble;26081;Drôme;26120;5.095863;44.899419
Châteauneuf-de-Bordette;26082;Drôme;26110;5.177535;44.335806
Châteauneuf-de-Galaure;26083;Drôme;26330;4.9561151;45.2327853
Châteauneuf-sur-Isère;26084;Drôme;26300;4.94309997559;45.0158157349
Châteauneuf-du-Rhône;26085;Drôme;26780;4.717315;44.48669
Châtillon-en-Diois;26086;Drôme;26410;5.484995;44.695276
Châtillon-en-Diois;26086;;26410;5.484995;44.695276
Châtillon-Saint-Jean;26087;Drôme;26750;5.1316605;45.0884341
Chatuzange-le-Goubet;26088;Drôme;26300;5.0926611;45.0053156
Chaudebonne;26089;Drôme;26110;5.217153;44.480359
La Chaudière;26090;Drôme;26340;5.215873;44.631642
Chauvac-Laux-Montaux;26091;Drôme;26510;5.5493062;44.3179388
Chavannes;26092;Drôme;26260;4.92686;45.1048
Clansayes;26093;Drôme;26130;4.807528;44.371211
Claveyson;26094;Drôme;26240;4.930096;45.1805359
Cléon-d'Andran;26095;Drôme;26450;4.936267;44.611109
Clérieux;26096;Drôme;26260;4.959347;45.076347
Cliousclat;26097;Drôme;26270;4.83502;44.716059
Cobonne;26098;Drôme;26400;5.0756;44.7603
Colonzelle;26099;Drôme;26230;4.8995718956;44.3927345276
Combovin;26100;Drôme;26120;5.0837;44.87188
Comps;26101;Drôme;26220;5.111709;44.553998
Condillac;26102;Drôme;26740;-1.037898;49.05188
Condorcet;26103;Drôme;26110;5.19969689;44.4070419
Cornillac;26104;Drôme;26510;5.38667392731;44.4435844421
Cornillon-sur-l'Oule;26105;Drôme;26510;5.36681985855;44.4590988159
La Coucourde;26106;Drôme;26740;4.77643013;44.6057014465
Crépol;26107;Drôme;26350;5.07015895844;45.1737594604
Crest;26108;Drôme;26402;5.0274682;44.7337827
Crozes-Hermitage;26110;Drôme;26600;4.85563993454;45.0666999817
Crupies;26111;Drôme;26460;5.171311;44.5548829
Curnier;26112;Drôme;26110;5.233752;44.385279
Die;26113;Drôme;26150;5.3705633;44.7544991
Dieulefit;26114;Drôme;26220;5.0641528;44.526177
Divajeu;26115;Drôme;26400;5.016255;44.703595
Donzère;26116;Drôme;26290;4.7139778;44.4400685
Échevis;26117;Drôme;26190;5.2889723;44.9898127
Épinouze;26118;Drôme;26210;4.9278959;45.3091079
Érôme;26119;Drôme;26600;4.821012;45.12076
Espeluche;26121;Drôme;26780;4.82059;44.515626
Espenel;26122;Drôme;26340;5.23396492004;44.6827735901
Establet;26123;Drôme;26470;5.43787288666;44.5066070557
Étoile-sur-Rhône;26124;Drôme;26800;4.89331;44.8374
Eurre;26125;Drôme;26400;4.989596;44.757586
